csv_id,json_file,csv_file,csv_index
4560725,wqR1reFrjE627hTp.json,2017_1.csv,43
4400742,Hd6hcjkwCtBc17wh.json,2017_1.csv,60
79082848,zLLPu2ena9bx2nea.json,2017_1.csv,613
4530794,ivGzBqNUXAzGLaoM.json,2017_1.csv,1075
38956616,duaehapXFq7c9zKR.json,2017_1.csv,2616
4491720,5LGtRkkiM1wdgdFO.json,2017_1.csv,3078
79061818,raQLaSMgP8VUXD13.json,2017_1.csv,3176
4599572,DZqEy9mVSouMYeYl.json,2017_1.csv,3276
4566958,Yub2IhDh8HHDxyT2.json,2017_1.csv,3339
79079933,zn6ATnjKy5kFOMhH.json,2017_1.csv,3696
39063107,M9iTAeV8iVkCat06.json,2017_1.csv,3704
4899740,1YtIUgMlwhEzEnj6.json,2017_1.csv,3752
79067081,lfyIpyfGeXNMzZsA.json,2017_1.csv,4897
4827621,vhTyTMssg9d9kYRb.json,2017_1.csv,5036
79089144,xA34OHbNDj7XATRH.json,2017_1.csv,5966
4388844,HTgPTJ6VCF0qldfI.json,2017_1.csv,6488
38960350,yAxfzCMoHmFInSu8.json,2017_1.csv,6569
79071547,ejNrUmb9f7Mi8vfb.json,2017_1.csv,6795
4757690,51lZV3rkI9crrzlD.json,2017_1.csv,6877
4558022,F0wUirsA9yyABW4I.json,2017_1.csv,7641
79089827,IZeB1mvxQLRFIPAL.json,2017_1.csv,7998
79088126,kd1rreBbnqJWA6vX.json,2017_1.csv,8963
4912589,8s1pvXElpKxRqe82.json,2017_1.csv,10818
4734394,D5pccHn6WbUh0FBg.json,2017_1.csv,11884
4505670,87pfNc9I6rghjfRk.json,2017_1.csv,12342
38922026,cayISqzjcRPaobcs.json,2017_1.csv,13799
79065052,Qi9KqcUSrggQN1Ry.json,2017_1.csv,14470
4622872,PV9w07KzAg3bj7Xi.json,2017_1.csv,15538
79067748,9r8UUWvARW6nwEky.json,2017_1.csv,15712
79071973,qidEq3NhrhLjTAiW.json,2017_1.csv,16632
4562275,nn66JqtCwRzoQTGs.json,2017_1.csv,17012
4563410,kzDB9rM6YOBCihof.json,2017_1.csv,18204
79068934,T77jQyEMR7ZHHMRG.json,2017_1.csv,18235
5064969,rLOuaLNdi68aQRa3.json,2017_1.csv,19335
4643388,uuoffh9JMXBU7DAG.json,2017_1.csv,20397
4575081,jaLsRVTFztRNteJz.json,2017_1.csv,21339
